id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
Q11,Outlier,Công ty có chính sách hỗ trợ tiền ăn trưa cho nhân viên không?,"Tôi xin lỗi, thông tin hiện tại trong cơ sở dữ liệu không đủ để trả lời câu hỏi này.",Không đủ dữ liệu / Tôi không biết,5,Abstained appropriately.,5,Abstained appropriately.,,No expected sources,5,Correctly abstained.,baseline_dense
Q12,Outlier,Làm thế nào để báo cáo nhân sự có biểu hiện tham nhũng?,"Tôi xin lỗi, thông tin hiện tại trong cơ sở dữ liệu không đủ để trả lời câu hỏi này.",Không đủ dữ liệu / Tôi không biết,5,Abstained appropriately.,5,Abstained appropriately.,,No expected sources,5,Correctly abstained.,baseline_dense
Q01,Access Control,"Tôi là nhân viên mới vào làm, ai sẽ phê duyệt quyền truy cập hệ thống của tôi và mức quyền của tôi là gì?","- Quy trình phê duyệt quyền truy cập hệ thống của bạn như sau:
  - Bạn cần tạo một Access Request ticket trên Jira (project IT-ACCESS) [2].
  - Yêu cầu của bạn sẽ được Line Manager phê duyệt trong 1 ngày làm việc [2].
  - Sau đó, IT Admin sẽ kiểm tra compliance và cấp quyền [2].
  - Cuối cùng, IT Security sẽ thực hiện review với Level 3 và Level 4 [2].

- Mức quyền truy cập của bạn sẽ được xác định dựa trên yêu cầu và sự phê duyệt của Line Manager cũng như IT Admin [2]. 

Nếu bạn cần thêm thông tin hoặc hỗ trợ, hãy cho tôi biết!","Bạn sẽ có Level 1 - Read Only access, do Line Manager phê duyệt.",5,"The answer accurately reflects the provided context regarding the access request process, including the steps involved and the roles of the Line Manager and IT Admin.",5,"The answer directly addresses the user's query by outlining the approval process for system access and explaining how the access level is determined, providing clear and relevant information.",0,Retrieved: 0/1 expected sources. Missing: ['access_control_sop.txt'],3,The model answer provides a detailed process for access approval but does not specify the exact access level (Level 1 - Read Only) as mentioned in the expected answer.,variant_hybrid_rerank
Q02,Access Control,Tôi có thể xin cấp quyền hệ thống khẩn cấp trong sự cố không và quyền bảo lưu được bao lâu?,"- Bạn có thể xin cấp quyền hệ thống khẩn cấp trong trường hợp sự cố P1. Quy trình như sau:
  1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1].
  2. Sau 24 giờ, bạn cần tạo một ticket chính thức, nếu không quyền sẽ bị thu hồi tự động [1].
  3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].

- Thời gian bảo lưu quyền tạm thời là tối đa 24 giờ.","Có, On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi Tech Lead phê duyệt bằng lời.",5,"The answer accurately reflects the escalation process for granting temporary system permissions in emergency situations as outlined in the provided context, including the approval process, time limits, and logging requirements.",5,The answer directly addresses the user's query by explaining the process for obtaining emergency system access and clarifying the duration for which the temporary rights are valid.,0,Retrieved: 0/1 expected sources. Missing: ['access_control_sop.txt'],5,"The Model Answer fully covers all key points from the Expected Answer, including the ability to request temporary system access, the maximum duration of 24 hours, and the requirement for Tech Lead approval.",variant_hybrid_rerank
Q03,HR Policy,"Tôi làm việc được 4 năm, tôi có bao nhiêu ngày phép năm?","- Theo chính sách nghỉ phép, nhân viên có từ 3 đến 5 năm kinh nghiệm sẽ được hưởng 15 ngày phép năm [2].
- Do bạn đã làm việc được 4 năm, bạn có quyền sử dụng 15 ngày phép năm.",15 ngày/năm cho nhân viên từ 3-5 năm kinh nghiệm.,5,"The answer accurately reflects the policy regarding annual leave for employees with 3 to 5 years of experience, stating that they are entitled to 15 days of leave per year, which is consistent with the provided context.",5,"The answer directly addresses the user's query by providing the specific number of vacation days they are entitled to based on their 4 years of work experience, along with a reference to the policy.",0,Retrieved: 0/1 expected sources. Missing: ['hr_leave_policy.txt'],5,"The model answer fully addresses the query by stating that employees with 3 to 5 years of experience are entitled to 15 days of leave per year, which matches the expected answer.",variant_hybrid_rerank
Q04,HR Policy,Làm thêm giờ vào ngày cuối tuần thì lương được tính như thế nào?,"- Lương làm thêm giờ vào ngày cuối tuần được tính là 200% lương giờ tiêu chuẩn [1]. 
- Lưu ý rằng việc làm thêm giờ phải được Line Manager phê duyệt trước bằng văn bản [1].",200% lương giờ tiêu chuẩn.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the overtime pay rate for weekends and the requirement for Line Manager approval.,5,"The answer directly addresses the query by providing the specific rate of pay for overtime on weekends and includes an important note about the requirement for prior approval, which is relevant to the context.",0,Retrieved: 0/1 expected sources. Missing: ['hr_leave_policy.txt'],5,"The model answer fully covers the key point from the expected answer regarding the calculation of overtime pay on weekends, stating it is 200% of the standard hourly wage.",variant_hybrid_rerank
Q05,IT FAQ,Tài khoản của tôi sẽ bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản của bạn sẽ bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 failed login attempts and the options for unlocking the account.,5,"The answer directly addresses the user's query by providing the specific number of failed login attempts that will result in the account being locked, as well as options for unlocking the account.",0,Retrieved: 0/1 expected sources. Missing: ['it_helpdesk_faq.txt'],5,"The model answer includes all key points from the expected answer, stating that the account will be locked after 5 consecutive failed login attempts.",variant_hybrid_rerank
Q06,IT FAQ,Công ty dùng phần mềm VPN nào để kết nối từ xa?,Công ty sử dụng phần mềm VPN là Cisco AnyConnect. Bạn có thể tải phần mềm này tại đường link sau: [https://vpn.company.internal/download](https://vpn.company.internal/download) [1].,Cisco AnyConnect.,5,"The answer accurately reflects the information provided in the context regarding the VPN software used by the company, including the correct name and download link.",5,The answer directly addresses the user's query by specifying the VPN software used by the company and provides a link for downloading it.,0,Retrieved: 0/1 expected sources. Missing: ['it_helpdesk_faq.txt'],5,"The model answer provides the expected answer 'Cisco AnyConnect' and includes additional information about downloading the software, which enhances the completeness.",variant_hybrid_rerank
Q07,Refund Policy,"Sau 10 ngày mua, tôi có được hoàn tiền cho sản phẩm bị móp méo không?","Tôi xin lỗi, nhưng theo chính sách hoàn tiền, yêu cầu hoàn tiền phải được gửi trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [1]. Do đó, nếu bạn đã mua sản phẩm được 10 ngày, bạn sẽ không đủ điều kiện để yêu cầu hoàn tiền.","Không, yêu cầu hoàn tiền chỉ được chấp nhận trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.",5,Abstained appropriately.,5,Abstained appropriately.,0,Retrieved: 0/1 expected sources. Missing: ['policy_refund_v4.txt'],5,"The Model Answer fully addresses the query by stating that the refund request must be made within 7 days of order confirmation, which aligns with the Expected Answer.",variant_hybrid_rerank
Q08,Refund Policy,Nếu tôi mua hàng kỹ thuật số (license key) và muốn hoàn tiền vì đổi ý thì có được không?,"- Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (bao gồm license key) không được hoàn tiền [1].
- Yêu cầu hoàn tiền chỉ được chấp nhận cho các sản phẩm không thuộc danh mục hàng kỹ thuật số và phải được gửi trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [1].
- Nếu bạn đã kích hoạt hoặc đăng ký tài khoản cho sản phẩm, bạn cũng không thể yêu cầu hoàn tiền [1].

Tóm lại, bạn không thể hoàn tiền cho license key nếu đã mua. Nếu cần thêm thông tin, vui lòng cho tôi biết!","Không, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền.",5,"The answer accurately reflects the information provided in the retrieved chunks regarding the refund policy, specifically mentioning that digital products like license keys are non-refundable and the conditions for requesting a refund.",5,"The answer directly addresses the user's query about the refund policy for digital products, specifically license keys, and provides clear and relevant information regarding the conditions under which refunds are not allowed.",0,Retrieved: 0/1 expected sources. Missing: ['policy_refund_v4.txt'],5,"The Model Answer fully addresses the key points from the Expected Answer, clearly stating that digital products like license keys are not eligible for refunds.",variant_hybrid_rerank
Q09,SLA,"Nếu có sự cố P1 (Database sập), thời gian phản hồi ban đầu theo SLA là bao lâu?","- Thời gian phản hồi ban đầu cho sự cố P1 (Database sập) là 15 phút kể từ khi ticket được tạo [1].
- Thời gian xử lý và khắc phục sự cố là 4 giờ [1].
- Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer [1].",15 phút kể từ khi ticket được tạo.,5,"The answer accurately reflects the information provided in the context regarding the initial response time, resolution time, and escalation process for Ticket P1.",5,The answer directly addresses the user's query by providing the initial response time for a P1 incident (15 minutes) and additional relevant information about the resolution time and escalation process.,0,Retrieved: 0/1 expected sources. Missing: ['sla_p1_2026.txt'],5,"The model answer fully covers the key point from the expected answer, stating that the initial response time for incident P1 is 15 minutes from when the ticket is created.",variant_hybrid_rerank
Q10,SLA,"Theo thay đổi mới nhất (v2026.1), thời gian khắc phục sự cố P1 là bao lâu?","Theo thay đổi mới nhất (v2026.1), thời gian khắc phục sự cố P1 được quy định như sau:

- **Phản hồi ban đầu**: 15 phút kể từ khi ticket được tạo.
- **Xử lý và khắc phục**: 4 giờ [1].

Nếu bạn cần thêm thông tin hoặc hỗ trợ khác, vui lòng cho tôi biết!",Cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ.,5,"The answer accurately reflects the information provided in the context regarding the initial response and resolution time for Ticket P1, with no additional or fabricated details.",5,The answer directly addresses the user's query by providing specific details about the response and resolution times for P1 issues as per the latest changes (v2026.1). It also offers further assistance if needed.,0,Retrieved: 0/1 expected sources. Missing: ['sla_p1_2026.txt'],4,"The model answer provides detailed information about the P1 incident response and resolution times, but it does not explicitly mention the update of the SLA from 6 hours to 4 hours, which is a key point in the expected answer.",variant_hybrid_rerank
Q11,Outlier,Công ty có chính sách hỗ trợ tiền ăn trưa cho nhân viên không?,"Tôi xin lỗi, thông tin hiện tại trong cơ sở dữ liệu không đủ để trả lời câu hỏi này.",Không đủ dữ liệu / Tôi không biết,5,Abstained appropriately.,5,Abstained appropriately.,,No expected sources,5,Correctly abstained.,variant_hybrid_rerank
Q12,Outlier,Làm thế nào để báo cáo nhân sự có biểu hiện tham nhũng?,"Tôi xin lỗi, thông tin hiện tại trong cơ sở dữ liệu không đủ để trả lời câu hỏi này.",Không đủ dữ liệu / Tôi không biết,5,Abstained appropriately.,5,Abstained appropriately.,,No expected sources,5,Correctly abstained.,variant_hybrid_rerank
